
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
a idea of the sort that we have_in_mind although of_necessity readily available to imagination be more general in connotation than most poetic or literary image especially those appear in lyric_poem that seek to capture a moment of personal experience,a bn:00045800n of the bn:00035907n that we bn:00089250v although bn:00115917r bn:00116794r bn:00097846a to bn:00045976n bn:00083181v bn:00116284r bn:00103507a in bn:00021928n than bn:00106953a bn:00108730a or bn:00106044a bn:00045970n bn:00115235r those bn:00082691v in bn:00052473n that bn:00082844v to bn:00084508v a bn:00046942n of bn:00108489a bn:00032308n
thus person 's `` my love be like a red red rose `` and person `` the thunder-purple sea beach plumed purple of thunder `` although clearly intelligible in content hardly present idea of the sort with which we be here concern,bn:00115635r bn:00046516n 's `` my bn:00009819n bn:00083181v like a bn:00098581a bn:00098581a bn:00068283n `` and bn:00046516n `` the thunder-purple bn:00069946n bn:00009263n plumed bn:00065306n of bn:00077123n `` although bn:00114740r bn:00097389a in bn:00022154n bn:00114504r bn:00090234v bn:00045800n of the bn:00035907n with which we be bn:00115640r bn:00085522v
on_the_other_hand person 's `` the unplumbed salt estranging sea `` take in its context certainly do so,bn:00114627r bn:00046516n 's `` the bn:00109080a salt bn:00102410a bn:00069946n `` bn:00092429v in its bn:00022168n bn:00114694r do bn:00117045r
understand a work_of_art involve recognition of the idea that it reflect or embody,bn:00095375v a bn:00081581n bn:00089625v bn:00000937n of the bn:00045800n that it bn:00092635v or bn:00087556v
thus the student of literature may sometimes find it helpful to classify a poem or a essay as be in idea or in ideal content or subject_matter typical or atypical of its period,bn:00115635r the bn:00012135n of bn:00051538n may bn:00117070r bn:00088095v it helpful to bn:00082871v a bn:00063193n or a bn:00031622n as bn:00083181v in bn:00045800n or in bn:00104500a bn:00022154n or bn:00022154n bn:00112216a or bn:00097741a of its bn:00061605n
again he may discover embody within its texture a theme or idea that have be present elsewhere and at other time in various way,again he may bn:00086708v embody within its bn:00076741n a bn:00056025n or bn:00045800n that have be bn:00090234v bn:00115192r and at bn:00108011a bn:00077268n in bn:00109740a bn:00033729n
we understanding will very probably require both these commentary,we bn:00005134n will bn:00116789r bn:00114523r bn:00082822v both these bn:00020978n
very likely it will also include a recognition that the work we be read reflect or `` belong_to `` some way of thought label as a `` school `` or a `` ism `` i.e a complex or `` syndrome `` of idea occur together with sufficient prominence to warrant identification,bn:00116789r bn:00114523r it will bn:00114246r bn:00089660v a bn:00000937n that the bn:00062309n we be bn:00092424v bn:00092635v or `` bn:00083391v `` some bn:00033729n of bn:00077016n bn:00090150v as a `` bn:00069622n `` or a `` bn:00028013n `` bn:00115715r a bn:00021369n or `` bn:00075718n `` of bn:00045800n occur bn:00117318r with bn:00111418a bn:00064696n to bn:00090024v bn:00026542n
thus idea like `` grace `` `` salvation `` and `` providence `` cluster together in traditional christianity,bn:00115635r bn:00045800n like `` bn:00041221n `` `` bn:00066712n `` and `` bn:00064909n `` bn:00085206v bn:00117318r in bn:00112043a bn:00018828n
usually the work study offer we a special or even a individualized rendering or treatment of the idea in question so that the student find it necessary to distinguish carefully between the several expression of a `` ism `` or mode of thought,bn:00114778r the bn:00062309n bn:00082596v bn:00091135v we a bn:00108295a or bn:00115244r a bn:00104974a bn:00047199n or bn:00027523n of the bn:00045800n in question so that the bn:00012135n bn:00088095v it bn:00107182a to bn:00086799v bn:00114671r between the bn:00109740a bn:00032392n of a `` bn:00028013n `` or bn:00033729n of bn:00077016n
accordingly we may speak of the platonism peculiar to person 's poem or the type of stoicism present in person 's `` invictus `` and we may find that describe such platonism or such stoicism and contrast each with other expression of the same attitude or mode of thought be a difficult and challenging enterprise,bn:00114106r we may speak of the bn:00062912n bn:00108295a to bn:00046516n 's bn:00063193n or the bn:00078798n of bn:00074396n bn:00108978a in bn:00046516n 's `` invictus `` and we may bn:00088095v that bn:00086612v such bn:00062912n or such bn:00074396n and bn:00085739v each with bn:00108011a bn:00032392n of the bn:00110075a bn:00007047n or bn:00033729n of bn:00077016n bn:00083181v a bn:00101358a and bn:00096939a bn:00030751n
after_all person be no `` orthodox `` or hellenic platonist and even he `` romantic `` platonism can be distinguish from that of he contemporaries,bn:00114168r bn:00046516n bn:00083181v no `` bn:00107989a `` or bn:00041634n bn:00062913n and bn:00115244r he `` bn:00109919a `` bn:00062912n can be bn:00086799v from that of he bn:00020407n
again person 's attitude of defiance which color he ideal of self mastery be far from characteristic of a stoic thinker like person whose gentle acquiescence be almost christian comparable_to the patience express in person 's sonnet on he own blindness,again bn:00046516n 's bn:00007047n of bn:00025908n which bn:00085303v he bn:00045804n of bn:00070325n bn:00028176n bn:00083181v bn:00102778a from bn:00099532a of a bn:00074392n bn:00023658n like bn:00046516n whose bn:00103534a bn:00000993n bn:00083181v bn:00114079r bn:00099656a bn:00100119a the bn:00035762n bn:00087778v in bn:00046516n 's bn:00072807n on he bn:00096707a bn:00011271n
in recent year we have come increasingly to recognize that idea have a history and that not the least important chapter of this history have to do with thematic or conceptual aspect of literature and the art although these aspect should be study in conjunction with the history of philosophy of religion and of the science,in bn:00105752a bn:00078738n we have bn:00085321v bn:00115880r to bn:00082472v that bn:00045800n bn:00089240v a bn:00000738n and that bn:00116360r the bn:00116094r bn:00104680a bn:00017731n of this bn:00000738n bn:00089244v to bn:00085334v with bn:00111800a or bn:00100194a bn:00006383n of bn:00051538n and the bn:00005926n although these bn:00006383n should be bn:00082596v in conjunction with the bn:00000738n of bn:00061984n of bn:00032768n and of the science
when these field be survey together important pattern of relationship emerge indicate a vast community of reciprocal influence a continuity of thought and expression include many tradition primarily literary religious and philosophical but frequently include contact with the fine_arts and even to some extent with science,when these bn:00007985n be bn:00082721v bn:00117320r bn:00104680a bn:00035908n of bn:00045161n bn:00087562v bn:00083436v a bn:00098905a community of bn:00107072a bn:00046694n a bn:00022200n of bn:00077016n and bn:00032391n bn:00089660v bn:00106408a bn:00077883n bn:00114714r bn:00106044a religious and bn:00108531a but bn:00115452r bn:00089660v bn:00022112n with the bn:00009449n and bn:00115244r to bn:00110911a bn:00032425n with science
here we may observe that at_least one modern philosophy of history be build on the assumption that idea be the primary objective of the historian 's research,bn:00115640r we may bn:00086708v that bn:00114418r bn:00095887a bn:00106831a bn:00061984n of bn:00044269n be bn:00084198v on the bn:00006558n that bn:00045800n bn:00083181v the bn:00109011a bn:00002179n of the bn:00044258n 's bn:00030952n
let we quote once_more from person `` history be properly concern with the action of human_being,let we bn:00085007v bn:00114171r from bn:00046516n `` bn:00044268n be bn:00114946r bn:00085522v with the bn:00001127n of bn:00044576n
regard from the outside a action be a event or series of event occur in the physical world regard from the inside it be the carrying_into_action of a certain thought,bn:00085647v from the bn:00032429n a bn:00001127n bn:00083182v a bn:00032021n or bn:00070609n of bn:00032021n bn:00085337v in the bn:00108569a bn:00022991n bn:00085647v from the bn:00046891n it bn:00083182v the bn:00016286n of a bn:00099474a bn:00045800n
the historian 's business be to penetrate to the inside of the action with which he be deal and reconstruct or rather rethink the thought which constitute they,the bn:00044258n 's bn:00014138n bn:00083182v to bn:00083821v to the bn:00046891n of the bn:00001127n with which he be bn:00085649v and bn:00085682v or bn:00115972r bn:00092934v the bn:00045800n which bn:00083187v they
it be a characteristic of thought that in rethink they we come ipso_facto to understand why they be think ``,it bn:00083182v a bn:00017762n of bn:00045800n that in bn:00092934v they we bn:00085321v bn:00116011r to bn:00092443v why they be bn:00084733v ``
such a understanding although it must seek to be sympathetic be not a matter of intuition,such a bn:00005134n although it must bn:00082844v to bn:00083181v bn:00111567a bn:00083182v bn:00116360r a bn:00047690n of bn:00047307n
`` history have this in_common with every other science that the historian be not allow to claim any single piece of knowledge except where he can justify he claim by exhibit to himself in_the_first_place and secondly to any one else who be both able and willing to follow he demonstration the grounds upon which it be base,`` bn:00044268n bn:00089240v this bn:00115793r with bn:00102466a bn:00108011a bn:00069670n that the bn:00044258n bn:00083181v bn:00116360r bn:00082536v to bn:00085018v any bn:00104971a bn:00062298n of bn:00020452n except where he can bn:00090025v he bn:00019403n by bn:00086557v to himself bn:00115834r and bn:00116918r to any one else who bn:00083181v both bn:00096152a and bn:00113877a to bn:00088427v he bn:00026176n the bn:00032045n upon which it be bn:00083141v
this be what be mean above by describe history as inferential,this bn:00083182v what be bn:00089805v bn:00114080r by bn:00086612v bn:00044268n as bn:00105052a
the knowledge in virtue of which a man be a historian be a knowledge of what the evidence at he disposal prove about certain event ``,the bn:00020452n in virtue of which a bn:00053097n bn:00083188v a bn:00044258n bn:00083182v a bn:00020452n of what the bn:00032045n at he bn:00027681n bn:00086567v about bn:00099474a bn:00032021n ``
